Densidade de Picos,Tempo (s)
10.625,1.6000
11.029411764705882,1.6320
10.817307692307692,1.6640
10.61320754716981,1.6960
10.416666666666666,1.7280
10.795454545454545,1.7600
10.602678571428571,1.7920
10.964912280701753,1.8240
10.775862068965516,1.8560
10.59322033898305,1.8880
10.9375,1.9200
10.758196721311474,1.9520
10.584677419354838,1.9840
10.912698412698413,2.0160
10.7421875,2.0480
10.576923076923077,2.0800
10.890151515151514,2.1120
10.727611940298507,2.1440
10.56985294117647,2.1760
10.869565217391303,2.2080
10.714285714285714,2.2400
11.003521126760562,2.2720
10.850694444444443,2.3040
10.702054794520546,2.3360
10.557432432432432,2.3680
10.416666666666668,2.4000
10.69078947368421,2.4320
10.551948051948052,2.4640
10.416666666666666,2.4960
10.284810126582279,2.5280
10.15625,2.5600
10.416666666666666,2.5920
10.289634146341463,2.6240
10.165662650602409,2.6560
10.416666666666666,2.6880
10.294117647058822,2.7200
10.537790697674417,2.7520
10.416666666666666,2.7840
10.298295454545453,2.8160
10.18258426966292,2.8480
10.069444444444443,2.8800
10.302197802197803,2.9120
10.190217391304348,2.9440
10.080645161290322,2.9760
10.305851063829786,3.0080
10.197368421052632,3.0400
10.091145833333334,3.0720
9.987113402061855,3.1040
9.885204081632653,3.1360
9.785353535353535,3.1680
10.0,3.2000
10.21039603960396,3.2320
10.110294117647058,3.2640
10.012135922330096,3.2960
10.216346153846153,3.3280
10.119047619047619,3.3600
10.318396226415093,3.3920
10.22196261682243,3.4240
10.127314814814815,3.4560
10.321100917431192,3.4880
10.227272727272727,3.5200
10.416666666666666,3.5520
10.323660714285714,3.5840
10.508849557522124,3.6160
10.416666666666666,3.6480
10.326086956521738,3.6800
10.506465517241379,3.7120
10.416666666666666,3.7440
10.328389830508474,3.7760
10.504201680672269,3.8080
10.416666666666666,3.8400
10.330578512396693,3.8720
10.502049180327868,3.9040
10.416666666666666,3.9360
10.33266129032258,3.9680
10.25,4.0000
10.416666666666666,4.0320
10.334645669291339,4.0640
10.498046875,4.0960
10.416666666666666,4.1280
10.336538461538462,4.1600
10.49618320610687,4.1920
10.416666666666666,4.2240
10.338345864661653,4.2560
10.494402985074625,4.2880
10.648148148148147,4.3200
10.56985294117647,4.3520
10.492700729927007,4.3840
10.643115942028984,4.4160
10.566546762589928,4.4480
10.491071428571427,4.4800
10.638297872340425,4.5120
10.56338028169014,4.5440
10.489510489510488,4.5760
10.633680555555554,4.6080
10.560344827586206,4.6400
10.488013698630136,4.6720
10.629251700680271,4.7040
10.557432432432432,4.7360
10.486577181208053,4.7680
10.416666666666668,4.8000
10.554635761589404,4.8320
10.485197368421053,4.8640
10.620915032679738,4.8960
10.551948051948052,4.9280
10.685483870967742,4.9600
10.817307692307692,4.9920
10.748407643312103,5.0240
10.680379746835444,5.0560
10.809748427672956,5.0880
10.7421875,5.1200
10.675465838509316,5.1520
10.802469135802468,5.1840
10.736196319018404,5.2160
10.670731707317072,5.2480
10.606060606060606,5.2800
10.542168674698795,5.3120
10.479041916167665,5.3440
10.602678571428571,5.3760
10.539940828402367,5.4080
10.661764705882351,5.4400
10.599415204678362,5.4720
10.537790697674417,5.5040
10.476878612716762,5.5360
10.416666666666666,5.5680
10.357142857142856,5.6000
10.298295454545453,5.6320
10.240112994350282,5.6640
10.35814606741573,5.6960
10.300279329608937,5.7280
10.243055555555554,5.7600
10.18646408839779,5.7920
10.130494505494505,5.8240
10.075136612021858,5.8560
10.190217391304348,5.8880
10.135135135135135,5.9200
10.080645161290322,5.9520
10.193850267379679,5.9840
10.139627659574469,6.0160
10.251322751322752,6.0480
10.197368421052632,6.0800
10.307591623036648,6.1120
10.25390625,6.1440
10.200777202072539,6.1760
10.148195876288659,6.2080
10.256410256410255,6.2400
10.204081632653061,6.2720
10.152284263959391,6.3040
10.1010101010101,6.3360
10.050251256281406,6.3680
10.15625,6.4000
10.105721393034825,6.4320
10.21039603960396,6.4640
10.160098522167488,6.4960
10.110294117647058,6.5280
10.060975609756097,6.5600
10.012135922330096,6.5920
10.114734299516908,6.6240
10.066105769230768,6.6560
10.167464114832535,6.6880
10.119047619047619,6.7200
10.071090047393364,6.7520
10.170990566037736,6.7840
10.123239436619718,6.8160
10.07593457943925,6.8480
10.174418604651162,6.8800
10.127314814814815,6.9120
10.080645161290322,6.9440
10.177752293577981,6.9760
10.131278538812785,7.0080
10.085227272727273,7.0400
10.039592760180996,7.0720
10.135135135135135,7.1040
10.089686098654708,7.1360
10.184151785714285,7.1680
10.13888888888889,7.2000
10.094026548672566,7.2320
10.187224669603523,7.2640
10.142543859649123,7.2960
10.23471615720524,7.3280
10.190217391304348,7.3600
10.281385281385282,7.3920
10.23706896551724,7.4240
10.32725321888412,7.4560
10.283119658119658,7.4880
10.23936170212766,7.5200
10.195974576271185,7.5520
10.284810126582277,7.5840
10.241596638655462,7.6160
10.198744769874477,7.6480
10.286458333333332,7.6800
10.243775933609959,7.7120
10.330578512396693,7.7440
10.288065843621398,7.7760
10.245901639344261,7.8080
10.204081632653061,7.8400
10.16260162601626,7.8720
10.12145748987854,7.9040
10.206653225806452,7.9360
10.291164658634537,7.9680
10.25,8.0000
10.209163346613545,8.0320
10.168650793650794,8.0640
10.25197628458498,8.0960
10.211614173228346,8.1280
10.294117647058822,8.1600
10.25390625,8.1920
10.335603112840467,8.2240
10.295542635658915,8.2560
10.255791505791505,8.2880
10.336538461538462,8.3200
10.416666666666666,8.3520
10.376908396946565,8.3840
10.337452471482889,8.4160
10.298295454545453,8.4480
10.25943396226415,8.4800
10.220864661654135,8.5120
10.182584269662922,8.5440
10.144589552238806,8.5760
10.223048327137546,8.6080
10.185185185185185,8.6400
