Diâmetro (nm),Tempo (s)
292.36,1.6000
281.64,1.6320
287.16,1.6640
292.69,1.6960
298.21,1.7280
287.75,1.7600
292.98,1.7920
283.30,1.8240
288.27,1.8560
293.24,1.8880
284.01,1.9200
288.74,1.9520
293.48,1.9840
284.65,2.0160
289.17,2.0480
293.69,2.0800
285.24,2.1120
289.57,2.1440
293.89,2.1760
285.78,2.2080
289.93,2.2400
282.30,2.2720
286.28,2.3040
290.26,2.3360
294.23,2.3680
298.21,2.4000
290.56,2.4320
294.39,2.4640
298.21,2.4960
302.03,2.5280
305.86,2.5600
298.21,2.5920
301.89,2.6240
305.57,2.6560
298.21,2.6880
301.76,2.7200
294.78,2.7520
298.21,2.7840
301.64,2.8160
305.06,2.8480
308.49,2.8800
301.52,2.9120
304.84,2.9440
308.15,2.9760
301.42,3.0080
304.62,3.0400
307.83,3.0720
311.04,3.1040
314.24,3.1360
317.45,3.1680
310.63,3.2000
304.23,3.2320
307.25,3.2640
310.26,3.2960
304.06,3.3280
306.98,3.3600
301.05,3.3920
303.89,3.4240
306.73,3.4560
300.97,3.4880
303.73,3.5200
298.21,3.5520
300.90,3.5840
295.59,3.6160
298.21,3.6480
300.82,3.6800
295.66,3.7120
298.21,3.7440
300.76,3.7760
295.72,3.8080
298.21,3.8400
300.69,3.8720
295.78,3.9040
298.21,3.9360
300.63,3.9680
303.06,4.0000
298.21,4.0320
300.58,4.0640
295.90,4.0960
298.21,4.1280
300.52,4.1600
295.95,4.1920
298.21,4.2240
300.47,4.2560
296.00,4.2880
291.73,4.3200
293.89,4.3520
296.05,4.3840
291.86,4.4160
293.98,4.4480
296.09,4.4800
292.00,4.5120
294.07,4.5440
296.14,4.5760
292.12,4.6080
294.15,4.6400
296.18,4.6720
292.24,4.7040
294.23,4.7360
296.22,4.7680
298.21,4.8000
294.31,4.8320
296.26,4.8640
292.47,4.8960
294.39,4.9280
290.71,4.9600
287.16,4.9920
289.01,5.0240
290.85,5.0560
287.37,5.0880
289.17,5.1200
290.98,5.1520
287.56,5.1840
289.33,5.2160
291.11,5.2480
292.88,5.2800
294.66,5.3120
296.43,5.3440
292.98,5.3760
294.72,5.4080
291.35,5.4400
293.07,5.4720
294.78,5.5040
296.50,5.5360
298.21,5.5680
299.92,5.6000
301.64,5.6320
303.35,5.6640
299.89,5.6960
301.58,5.7280
303.26,5.7600
304.95,5.7920
306.63,5.8240
308.32,5.8560
304.84,5.8880
306.49,5.9200
308.15,5.9520
304.73,5.9840
306.36,6.0160
303.02,6.0480
304.62,6.0800
301.36,6.1120
302.94,6.1440
304.52,6.1760
306.10,6.2080
302.87,6.2400
304.42,6.2720
305.97,6.3040
307.53,6.3360
309.08,6.3680
305.86,6.4000
307.38,6.4320
304.23,6.4640
305.74,6.4960
307.25,6.5280
308.75,6.5600
310.26,6.5920
307.11,6.6240
308.59,6.6560
305.52,6.6880
306.98,6.7200
308.44,6.7520
305.41,6.7840
306.85,6.8160
308.29,6.8480
305.31,6.8800
306.73,6.9120
308.15,6.9440
305.21,6.9760
306.61,7.0080
308.01,7.0400
309.41,7.0720
306.49,7.1040
307.87,7.1360
305.02,7.1680
306.38,7.2000
307.74,7.2320
304.93,7.2640
306.27,7.2960
303.51,7.3280
304.84,7.3600
302.13,7.3920
303.44,7.4240
300.79,7.4560
302.08,7.4880
303.37,7.5200
304.66,7.5520
302.03,7.5840
303.31,7.6160
304.58,7.6480
301.98,7.6800
303.24,7.7120
300.69,7.7440
301.94,7.7760
303.18,7.8080
304.42,7.8400
305.66,7.8720
306.91,7.9040
304.35,7.9360
301.85,7.9680
303.06,8.0000
304.27,8.0320
305.48,8.0640
303.00,8.0960
304.20,8.1280
301.76,8.1600
302.94,8.1920
300.55,8.2240
301.72,8.2560
302.89,8.2880
300.52,8.3200
298.21,8.3520
299.35,8.3840
300.49,8.4160
301.64,8.4480
302.78,8.4800
303.92,8.5120
305.06,8.5440
306.21,8.5760
303.86,8.6080
304.99,8.6400
302.68,8.6720
303.79,8.7040
304.91,8.7360
306.03,8.7680
303.73,8.8000
304.84,8.8320
305.94,8.8640
307.04,8.8960
304.76,8.9280
305.86,8.9600
306.95,8.9920
308.04,9.0240
309.13,9.0560
306.85,9.0880
307.93,9.1200
309.01,9.1520
306.76,9.1840
307.83,9.2160
308.90,9.2480
306.67,9.2800
307.73,9.3120
308.78,9.3440
309.84,9.3760
310.90,9.4080
311.96,9.4400
309.72,9.4720
310.77,9.5040
308.56,9.5360
309.60,9.5680
310.63,9.6000
311.67,9.6320
312.71,9.6640
313.74,9.6960
314.78,9.7280
315.81,9.7600
313.58,9.7920
314.61,9.8240
312.41,9.8560
313.42,9.8880
314.44,9.9200
312.27,9.9520
313.27,9.9840
314.27,10.0160
312.13,10.0480
313.12,10.0800
314.11,10.1120
311.99,10.1440
312.97,10.1760
313.96,10.2080
311.85,10.2400
309.79,10.2720
310.76,10.3040
311.72,10.3360
312.69,10.3680
310.63,10.4000
311.59,10.4320
312.55,10.4640
310.52,10.4960
308.52,10.5280
309.46,10.5600
310.40,10.5920
311.34,10.6240
312.28,10.6560
310.29,10.6880
311.22,10.7200
309.25,10.7520
310.17,10.7840
311.09,10.8160
309.15,10.8480
310.06,10.8800
310.98,10.9120
309.05,10.9440
309.96,10.9760
310.86,11.0080
311.76,11.0400
312.67,11.0720
313.57,11.1040
311.64,11.1360
312.54,11.1680
310.63,11.2000
311.52,11.2320
312.41,11.2640
313.30,11.2960
311.40,11.3280
312.28,11.3600
310.42,11.3920
311.29,11.4240
312.16,11.4560
310.31,11.4880
311.17,11.5200
312.04,11.5520
312.90,11.5840
311.06,11.6160
311.92,11.6480
312.78,11.6800
313.63,11.7120
314.49,11.7440
315.35,11.7760
313.50,11.8080
314.35,11.8400
312.53,11.8720
313.37,11.9040
314.21,11.9360
312.41,11.9680
313.24,12.0000
311.46,12.0320
312.29,12.0640
313.12,12.0960
311.35,12.1280
312.17,12.1600
310.43,12.1920
311.25,12.2240
312.06,12.2560
310.33,12.2880
311.14,12.3200
311.95,12.3520
312.76,12.3840
313.56,12.4160
311.84,12.4480
312.64,12.4800
313.44,12.5120
314.24,12.5440
315.04,12.5760
315.85,12.6080
314.11,12.6400
314.91,12.6720
313.20,12.7040
313.99,12.7360
314.78,12.7680
313.08,12.8000
311.41,12.8320
312.19,12.8640
312.96,12.8960
311.31,12.9280
312.08,12.9600
310.44,12.9920
311.21,13.0240
311.97,13.0560
312.74,13.0880
311.11,13.1200
311.87,13.1520
312.63,13.1840
313.39,13.2160
314.14,13.2480
314.90,13.2800
315.66,13.3120
314.02,13.3440
312.41,13.3760
313.16,13.4080
311.56,13.4400
312.30,13.4720
313.05,13.5040
313.79,13.5360
312.20,13.5680
312.94,13.6000
313.67,13.6320
314.41,13.6640
315.14,13.6960
313.56,13.7280
314.29,13.7600
315.02,13.7920
313.45,13.8240
311.90,13.8560
312.62,13.8880
313.34,13.9200
314.06,13.9520
312.51,13.9840
313.23,14.0160
313.94,14.0480
314.66,14.0800
315.37,14.1120
313.83,14.1440
314.54,14.1760
313.01,14.2080
313.72,14.2400
312.21,14.2720
312.91,14.3040
313.61,14.3360
314.31,14.3680
315.01,14.4000
313.50,14.4320
314.20,14.4640
312.71,14.4960
313.40,14.5280
314.09,14.5600
312.61,14.5920
313.29,14.6240
313.98,14.6560
312.51,14.6880
311.06,14.7200
311.73,14.7520
312.41,14.7840
310.97,14.8160
311.64,14.8480
312.31,14.8800
312.99,14.9120
311.55,14.9440
312.22,14.9760
312.89,15.0080
311.46,15.0400
312.13,15.0720
312.79,15.1040
313.45,15.1360
312.03,15.1680
310.63,15.2000
311.29,15.2320
311.94,15.2640
310.55,15.2960
311.20,15.3280
311.85,15.3600
310.47,15.3920
311.12,15.4240
311.76,15.4560
310.39,15.4880
311.04,15.5200
311.68,15.5520
310.32,15.5840
308.97,15.6160
309.61,15.6480
310.24,15.6800
308.90,15.7120
309.53,15.7440
310.16,15.7760
308.84,15.8080
309.46,15.8400
308.15,15.8720
308.77,15.9040
309.39,15.9360
308.09,15.9680
308.71,16.0000
309.32,16.0320
308.03,16.0640
308.64,16.0960
309.25,16.1280
307.97,16.1600
308.58,16.1920
309.19,16.2240
307.91,16.2560
308.51,16.2880
309.12,16.3200
309.73,16.3520
310.33,16.3840
309.05,16.4160
309.66,16.4480
310.26,16.4800
310.86,16.5120
309.59,16.5440
310.19,16.5760
308.92,16.6080
309.52,16.6400
308.27,16.6720
308.86,16.7040
309.45,16.7360
310.04,16.7680
310.63,16.8000
309.38,16.8320
308.15,16.8640
308.73,16.8960
309.32,16.9280
308.09,16.9600
308.67,16.9920
307.46,17.0240
308.03,17.0560
308.61,17.0880
307.40,17.1200
307.98,17.1520
308.55,17.1840
309.13,17.2160
307.92,17.2480
308.49,17.2800
309.06,17.3120
307.87,17.3440
308.43,17.3760
307.25,17.4080
307.81,17.4400
306.63,17.4720
307.19,17.5040
307.76,17.5360
306.59,17.5680
307.14,17.6000
307.70,17.6320
308.26,17.6640
307.09,17.6960
307.65,17.7280
306.49,17.7600
307.04,17.7920
307.60,17.8240
306.45,17.8560
307.00,17.8880
305.86,17.9200
306.40,17.9520
306.95,17.9840
307.49,18.0160
306.36,18.0480
306.90,18.0800
307.44,18.1120
307.99,18.1440
306.85,18.1760
307.39,18.2080
306.27,18.2400
306.81,18.2720
305.69,18.3040
306.23,18.3360
305.12,18.3680
305.65,18.4000
306.18,18.4320
305.08,18.4640
305.61,18.4960
304.52,18.5280
305.05,18.5600
305.57,18.5920
304.49,18.6240
305.01,18.6560
305.53,18.6880
304.45,18.7200
304.97,18.7520
305.50,18.7840
304.42,18.8160
304.94,18.8480
305.46,18.8800
305.97,18.9120
306.49,18.9440
307.01,18.9760
307.53,19.0080
306.45,19.0400
306.96,19.0720
307.48,19.1040
307.99,19.1360
306.92,19.1680
307.43,19.2000
307.94,19.2320
306.88,19.2640
307.38,19.2960
307.89,19.3280
306.83,19.3600
307.34,19.3920
307.85,19.4240
306.79,19.4560
307.29,19.4880
307.80,19.5200
306.74,19.5520
307.25,19.5840
306.20,19.6160
306.70,19.6480
307.20,19.6800
307.70,19.7120
306.66,19.7440
307.16,19.7760
306.12,19.8080
306.62,19.8400
305.59,19.8720
306.08,19.9040
306.57,19.9360
307.07,19.9680
306.04,20.0000
306.53,20.0320
305.52,20.0640
306.01,20.0960
305.00,20.1280
305.48,20.1600
304.48,20.1920
304.96,20.2240
305.45,20.2560
304.45,20.2880
304.93,20.3200
305.41,20.3520
305.89,20.3840
306.37,20.4160
305.38,20.4480
305.86,20.4800
306.33,20.5120
306.81,20.5440
305.82,20.5760
306.29,20.6080
306.77,20.6400
305.78,20.6720
306.26,20.7040
306.73,20.7360
307.20,20.7680
306.22,20.8000
306.69,20.8320
307.16,20.8640
307.63,20.8960
308.10,20.9280
308.57,20.9600
309.04,20.9920
308.06,21.0240
308.52,21.0560
308.99,21.0880
309.46,21.1200
308.48,21.1520
308.94,21.1840
309.41,21.2160
308.43,21.2480
308.89,21.2800
309.36,21.3120
309.82,21.3440
308.84,21.3760
309.31,21.4080
309.77,21.4400
308.79,21.4720
309.25,21.5040
308.29,21.5360
308.74,21.5680
309.20,21.6000
308.24,21.6320
308.70,21.6640
307.74,21.6960
308.19,21.7280
307.25,21.7600
307.70,21.7920
306.76,21.8240
307.20,21.8560
307.65,21.8880
306.72,21.9200
307.16,21.9520
306.23,21.9840
306.68,22.0160
305.75,22.0480
306.20,22.0800
305.28,22.1120
305.72,22.1440
304.81,22.1760
305.25,22.2080
305.69,22.2400
306.13,22.2720
305.22,22.3040
305.65,22.3360
306.09,22.3680
305.18,22.4000
305.62,22.4320
306.06,22.4640
305.15,22.4960
305.59,22.5280
306.02,22.5600
306.46,22.5920
306.89,22.6240
307.32,22.6560
306.42,22.6880
306.85,22.7200
307.29,22.7520
306.39,22.7840
306.82,22.8160
307.25,22.8480
307.68,22.8800
306.78,22.9120
307.21,22.9440
307.64,22.9760
308.06,23.0080
307.17,23.0400
307.59,23.0720
308.02,23.1040
307.13,23.1360
307.55,23.1680
307.98,23.2000
308.40,23.2320
308.83,23.2640
309.25,23.2960
309.68,23.3280
308.78,23.3600
309.21,23.3920
309.63,23.4240
310.05,23.4560
309.16,23.4880
308.28,23.5200
308.69,23.5520
309.11,23.5840
309.53,23.6160
308.65,23.6480
309.07,23.6800
308.19,23.7120
308.61,23.7440
309.02,23.7760
309.44,23.8080
308.56,23.8400
308.98,23.8720
309.39,23.9040
309.81,23.9360
308.93,23.9680
308.07,24.0000
308.48,24.0320
307.62,24.0640
308.03,24.0960
308.44,24.1280
308.84,24.1600
307.99,24.1920
308.39,24.2240
307.54,24.2560
307.95,24.2880
308.35,24.3200
307.50,24.3520
307.91,24.3840
308.31,24.4160
308.72,24.4480
309.12,24.4800
309.52,24.5120
308.67,24.5440
309.08,24.5760
308.23,24.6080
308.63,24.6400
309.03,24.6720
308.19,24.7040
308.59,24.7360
308.99,24.7680
309.39,24.8000
309.79,24.8320
308.94,24.8640
309.34,24.8960
309.74,24.9280
308.90,24.9600
309.30,24.9920
309.69,25.0240
310.09,25.0560
310.49,25.0880
310.88,25.1200
311.28,25.1520
310.44,25.1840
310.83,25.2160
311.23,25.2480
310.39,25.2800
310.78,25.3120
311.17,25.3440
310.34,25.3760
310.73,25.4080
309.90,25.4400
309.08,25.4720
309.47,25.5040
309.86,25.5360
309.04,25.5680
309.43,25.6000
308.61,25.6320
309.00,25.6640
309.38,25.6960
308.57,25.7280
308.96,25.7600
309.34,25.7920
308.53,25.8240
308.91,25.8560
308.11,25.8880
308.49,25.9200
308.87,25.9520
308.07,25.9840
308.45,26.0160
308.83,26.0480
308.04,26.0800
308.41,26.1120
308.79,26.1440
309.17,26.1760
308.38,26.2080
308.75,26.2400
309.13,26.2720
309.50,26.3040
308.71,26.3360
309.09,26.3680
308.30,26.4000
308.67,26.4320
309.05,26.4640
309.42,26.4960
309.79,26.5280
310.17,26.5600
310.54,26.5920
310.91,26.6240
310.12,26.6560
310.49,26.6880
310.87,26.7200
310.08,26.7520
310.45,26.7840
309.66,26.8160
310.03,26.8480
309.25,26.8800
309.62,26.9120
308.85,26.9440
309.21,26.9760
308.44,27.0080
308.81,27.0400
309.17,27.0720
308.40,27.1040
308.77,27.1360
309.13,27.1680
309.50,27.2000
308.73,27.2320
309.09,27.2640
308.33,27.2960
308.69,27.3280
309.05,27.3600
308.29,27.3920
308.65,27.4240
309.01,27.4560
308.26,27.4880
308.62,27.5200
307.86,27.5520
308.22,27.5840
308.58,27.6160
307.83,27.6480
308.19,27.6800
308.54,27.7120
308.90,27.7440
308.15,27.7760
308.50,27.8080
307.76,27.8400
308.11,27.8720
308.47,27.9040
308.82,27.9360
309.18,27.9680
308.43,28.0000
308.78,28.0320
308.04,28.0640
308.40,28.0960
308.75,28.1280
308.01,28.1600
308.36,28.1920
307.63,28.2240
307.98,28.2560
307.25,28.2880
307.59,28.3200
307.94,28.3520
308.29,28.3840
307.56,28.4160
307.91,28.4480
308.25,28.4800
308.60,28.5120
307.87,28.5440
308.22,28.5760
308.56,28.6080
307.84,28.6400
308.18,28.6720
308.53,28.7040
308.87,28.7360
308.15,28.7680
308.49,28.8000
307.77,28.8320
308.12,28.8640
308.46,28.8960
308.80,28.9280
308.08,28.9600
308.42,28.9920
308.76,29.0240
308.05,29.0560
308.39,29.0880
308.73,29.1200
309.07,29.1520
309.40,29.1840
308.69,29.2160
309.03,29.2480
309.37,29.2800
308.65,29.3120
308.99,29.3440
308.28,29.3760
308.62,29.4080
308.96,29.4400
308.25,29.4720
308.58,29.5040
308.92,29.5360
308.22,29.5680
308.55,29.6000
308.88,29.6320
308.18,29.6640
308.52,29.6960
308.85,29.7280
309.18,29.7600
309.51,29.7920
308.81,29.8240
309.14,29.8560
309.47,29.8880
309.81,29.9200
309.11,29.9520
308.41,29.9840
308.74,30.0160
309.07,30.0480
309.40,30.0800
308.71,30.1120
309.04,30.1440
309.36,30.1760
309.69,30.2080
310.02,30.2400
309.33,30.2720
309.65,30.3040
309.98,30.3360
310.31,30.3680
309.62,30.4000
309.94,30.4320
310.27,30.4640
309.58,30.4960
309.90,30.5280
310.23,30.5600
309.54,30.5920
309.87,30.6240
310.19,30.6560
309.50,30.6880
309.83,30.7200
310.15,30.7520
309.47,30.7840
309.79,30.8160
309.11,30.8480
309.43,30.8800
309.75,30.9120
310.07,30.9440
310.39,30.9760
310.71,31.0080
310.04,31.0400
309.36,31.0720
309.68,31.1040
310.00,31.1360
309.32,31.1680
309.64,31.2000
309.96,31.2320
310.28,31.2640
309.61,31.2960
309.92,31.3280
310.24,31.3600
310.56,31.3920
310.87,31.4240
310.20,31.4560
310.52,31.4880
310.83,31.5200
310.16,31.5520
310.48,31.5840
309.81,31.6160
310.12,31.6480
309.46,31.6800
309.77,31.7120
309.12,31.7440
309.43,31.7760
308.77,31.8080
309.08,31.8400
308.43,31.8720
308.74,31.9040
309.05,31.9360
308.40,31.9680
308.71,32.0000
309.01,32.0320
308.36,32.0640
308.67,32.0960
308.03,32.1280
308.33,32.1600
307.69,32.1920
308.00,32.2240
307.36,32.2560
307.66,32.2880
307.97,32.3200
307.33,32.3520
307.63,32.3840
307.00,32.4160
307.30,32.4480
306.67,32.4800
306.97,32.5120
306.34,32.5440
306.64,32.5760
306.94,32.6080
307.25,32.6400
307.55,32.6720
307.85,32.7040
307.22,32.7360
307.52,32.7680
307.82,32.8000
307.19,32.8320
307.49,32.8640
306.87,32.8960
307.16,32.9280
306.54,32.9600
305.92,32.9920
306.22,33.0240
306.52,33.0560
305.90,33.0880
306.20,33.1200
306.49,33.1520
306.79,33.1840
307.08,33.2160
306.47,33.2480
306.76,33.2800
307.06,33.3120
306.44,33.3440
306.74,33.3760
307.03,33.4080
306.42,33.4400
306.71,33.4720
306.10,33.5040
306.40,33.5360
306.69,33.5680
306.08,33.6000
306.37,33.6320
306.66,33.6640
306.95,33.6960
306.35,33.7280
306.64,33.7600
306.93,33.7920
307.22,33.8240
306.61,33.8560
306.90,33.8880
306.30,33.9200
306.59,33.9520
306.88,33.9840
306.28,34.0160
306.56,34.0480
305.97,34.0800
306.25,34.1120
306.54,34.1440
305.94,34.1760
306.23,34.2080
306.52,34.2400
305.92,34.2720
306.21,34.3040
306.49,34.3360
306.78,34.3680
307.06,34.4000
306.47,34.4320
306.75,34.4640
307.04,34.4960
307.32,34.5280
306.73,34.5600
307.01,34.5920
307.30,34.6240
307.58,34.6560
307.87,34.6880
308.15,34.7200
308.43,34.7520
308.72,34.7840
309.00,34.8160
308.40,34.8480
308.69,34.8800
308.97,34.9120
308.38,34.9440
308.66,34.9760
308.94,35.0080
309.22,35.0400
309.50,35.0720
308.91,35.1040
309.19,35.1360
308.60,35.1680
308.88,35.2000
309.16,35.2320
308.57,35.2640
308.85,35.2960
309.13,35.3280
309.41,35.3600
309.69,35.3920
309.10,35.4240
309.38,35.4560
308.79,35.4880
309.07,35.5200
309.35,35.5520
308.76,35.5840
309.04,35.6160
309.32,35.6480
309.59,35.6800
309.01,35.7120
309.28,35.7440
308.70,35.7760
308.98,35.8080
309.25,35.8400
309.53,35.8720
309.81,35.9040
310.08,35.9360
309.50,35.9680
309.77,36.0000
309.19,36.0320
308.61,36.0640
308.89,36.0960
309.16,36.1280
308.59,36.1600
308.86,36.1920
309.13,36.2240
309.41,36.2560
309.68,36.2880
309.10,36.3200
309.37,36.3520
308.80,36.3840
309.07,36.4160
308.50,36.4480
308.77,36.4800
309.04,36.5120
309.31,36.5440
308.74,36.5760
309.01,36.6080
309.28,36.6400
309.55,36.6720
308.98,36.7040
309.25,36.7360
308.69,36.7680
308.96,36.8000
309.22,36.8320
308.66,36.8640
308.93,36.8960
309.19,36.9280
308.63,36.9600
308.90,36.9920
308.34,37.0240
308.60,37.0560
308.87,37.0880
309.14,37.1200
309.40,37.1520
309.67,37.1840
309.11,37.2160
309.37,37.2480
309.64,37.2800
309.90,37.3120
310.17,37.3440
309.61,37.3760
309.87,37.4080
310.14,37.4400
310.40,37.4720
310.67,37.5040
310.93,37.5360
311.20,37.5680
310.63,37.6000
310.90,37.6320
310.34,37.6640
310.60,37.6960
310.87,37.7280
310.31,37.7600
309.75,37.7920
310.01,37.8240
310.27,37.8560
309.72,37.8880
309.98,37.9200
309.43,37.9520
309.69,37.9840
309.14,38.0160
309.40,38.0480
308.85,38.0800
309.11,38.1120
309.37,38.1440
309.63,38.1760
309.89,38.2080
309.34,38.2400
309.60,38.2720
309.05,38.3040
309.31,38.3360
309.57,38.3680
309.83,38.4000
310.09,38.4320
309.54,38.4640
309.80,38.4960
309.25,38.5280
309.51,38.5600
309.77,38.5920
310.02,38.6240
310.28,38.6560
309.74,38.6880
309.99,38.7200
309.45,38.7520
309.71,38.7840
309.96,38.8160
309.42,38.8480
309.68,38.8800
309.93,38.9120
309.40,38.9440
309.65,38.9760
309.11,39.0080
309.37,39.0400
309.62,39.0720
309.87,39.1040
309.34,39.1360
309.59,39.1680
309.84,39.2000
310.10,39.2320
310.35,39.2640
310.60,39.2960
310.86,39.3280
310.32,39.3600
310.57,39.3920
310.82,39.4240
311.08,39.4560
311.33,39.4880
310.79,39.5200
311.04,39.5520
311.30,39.5840
310.76,39.6160
311.01,39.6480
311.26,39.6800
310.73,39.7120
310.98,39.7440
310.45,39.7760
310.70,39.8080
310.95,39.8400
311.20,39.8720
311.45,39.9040
310.91,39.9360
311.16,39.9680
310.63,40.0000
310.88,40.0320
310.36,40.0640
310.60,40.0960
310.85,40.1280
310.33,40.1600
310.57,40.1920
310.05,40.2240
309.53,40.2560
309.77,40.2880
310.02,40.3200
310.27,40.3520
309.74,40.3840
309.99,40.4160
310.24,40.4480
309.72,40.4800
309.96,40.5120
310.21,40.5440
310.45,40.5760
309.93,40.6080
310.18,40.6400
309.66,40.6720
309.90,40.7040
309.39,40.7360
309.63,40.7680
309.88,40.8000
310.12,40.8320
309.60,40.8640
309.85,40.8960
310.09,40.9280
310.33,40.9600
310.57,40.9920
310.06,41.0240
310.30,41.0560
309.79,41.0880
310.03,41.1200
310.27,41.1520
309.76,41.1840
310.00,41.2160
310.24,41.2480
309.73,41.2800
309.97,41.3120
310.21,41.3440
310.45,41.3760
309.95,41.4080
310.19,41.4400
310.42,41.4720
310.66,41.5040
310.90,41.5360
311.14,41.5680
310.63,41.6000
310.87,41.6320
310.37,41.6640
310.60,41.6960
310.84,41.7280
311.08,41.7600
310.58,41.7920
310.81,41.8240
311.05,41.8560
311.29,41.8880
310.78,41.9200
311.02,41.9520
311.26,41.9840
310.75,42.0160
310.99,42.0480
310.49,42.0800
310.72,42.1120
310.96,42.1440
311.20,42.1760
310.69,42.2080
310.93,42.2400
311.16,42.2720
311.40,42.3040
310.90,42.3360
311.13,42.3680
310.63,42.4000
310.87,42.4320
310.37,42.4640
310.61,42.4960
310.11,42.5280
310.34,42.5600
309.85,42.5920
309.36,42.6240
309.59,42.6560
309.82,42.6880
310.05,42.7200
309.56,42.7520
309.79,42.7840
310.03,42.8160
310.26,42.8480
310.49,42.8800
310.00,42.9120
310.23,42.9440
310.46,42.9760
310.69,43.0080
310.20,43.0400
310.43,43.0720
309.94,43.1040
310.17,43.1360
310.40,43.1680
309.92,43.2000
310.15,43.2320
310.38,43.2640
309.89,43.2960
310.12,43.3280
310.35,43.3600
310.58,43.3920
310.09,43.4240
310.32,43.4560
309.84,43.4880
310.06,43.5200
310.29,43.5520
309.81,43.5840
310.04,43.6160
310.26,43.6480
310.49,43.6800
310.01,43.7120
310.24,43.7440
310.46,43.7760
310.69,43.8080
310.21,43.8400
310.44,43.8720
309.96,43.9040
310.18,43.9360
310.41,43.9680
310.63,44.0000
310.16,44.0320
310.38,44.0640
309.90,44.0960
310.13,44.1280
310.35,44.1600
309.88,44.1920
310.10,44.2240
310.33,44.2560
310.55,44.2880
310.77,44.3200
310.30,44.3520
310.52,44.3840
310.75,44.4160
310.97,44.4480
311.19,44.4800
311.42,44.5120
310.94,44.5440
311.17,44.5760
311.39,44.6080
311.61,44.6400
311.84,44.6720
312.06,44.7040
312.28,44.7360
311.80,44.7680
312.03,44.8000
311.55,44.8320
311.77,44.8640
312.00,44.8960
311.52,44.9280
311.74,44.9600
311.97,44.9920
311.49,45.0240
311.71,45.0560
311.94,45.0880
311.46,45.1200
311.68,45.1520
311.21,45.1840
311.43,45.2160
311.65,45.2480
311.18,45.2800
311.40,45.3120
310.94,45.3440
311.16,45.3760
311.38,45.4080
310.91,45.4400
311.13,45.4720
311.35,45.5040
311.57,45.5360
311.10,45.5680
311.32,45.6000
311.54,45.6320
311.07,45.6640
311.29,45.6960
311.51,45.7280
311.72,45.7600
311.94,45.7920
312.16,45.8240
311.69,45.8560
311.91,45.8880
312.13,45.9200
311.67,45.9520
311.88,45.9840
312.10,46.0160
311.64,46.0480
311.85,46.0800
311.39,46.1120
311.61,46.1440
311.82,46.1760
312.04,46.2080
311.58,46.2400
311.79,46.2720
311.33,46.3040
311.55,46.3360
311.76,46.3680
311.98,46.4000
312.19,46.4320
311.73,46.4640
311.95,46.4960
311.49,46.5280
311.71,46.5600
311.92,46.5920
312.13,46.6240
312.35,46.6560
312.56,46.6880
312.78,46.7200
312.32,46.7520
312.53,46.7840
312.07,46.8160
312.29,46.8480
311.83,46.8800
312.04,46.9120
311.59,46.9440
311.80,46.9760
311.35,47.0080
311.56,47.0400
311.77,47.0720
311.32,47.1040
311.53,47.1360
311.08,47.1680
311.29,47.2000
311.51,47.2320
311.72,47.2640
311.27,47.2960
311.48,47.3280
311.69,47.3600
311.90,47.3920
311.45,47.4240
311.00,47.4560
311.21,47.4880
311.42,47.5200
311.63,47.5520
311.84,47.5840
311.39,47.6160
311.60,47.6480
311.16,47.6800
311.37,47.7120
311.57,47.7440
311.13,47.7760
311.34,47.8080
310.89,47.8400
311.10,47.8720
310.66,47.9040
310.87,47.9360
311.08,47.9680
310.63,48.0000
310.84,48.0320
311.05,48.0640
310.61,48.0960
310.82,48.1280
310.38,48.1600
310.58,48.1920
310.15,48.2240
310.35,48.2560
309.92,48.2880
310.12,48.3200
309.69,48.3520
309.89,48.3840
309.46,48.4160
309.66,48.4480
309.87,48.4800
309.44,48.5120
309.64,48.5440
309.84,48.5760
309.41,48.6080
309.62,48.6400
309.82,48.6720
310.02,48.7040
309.59,48.7360
309.80,48.7680
310.00,48.8000
309.57,48.8320
309.77,48.8640
309.98,48.8960
309.55,48.9280
309.75,48.9600
309.95,48.9920
310.15,49.0240
309.73,49.0560
309.93,49.0880
310.13,49.1200
309.70,49.1520
309.90,49.1840
310.11,49.2160
310.31,49.2480
309.88,49.2800
310.08,49.3120
309.66,49.3440
309.86,49.3760
310.06,49.4080
309.63,49.4400
309.83,49.4720
309.41,49.5040
309.61,49.5360
309.81,49.5680
310.01,49.6000
310.21,49.6320
310.41,49.6640
309.99,49.6960
310.19,49.7280
310.39,49.7600
310.58,49.7920
310.16,49.8240
310.36,49.8560
310.56,49.8880
310.76,49.9200
310.96,49.9520
311.16,49.9840
310.73,50.0160
310.93,50.0480
310.51,50.0800
310.71,50.1120
310.91,50.1440
310.49,50.1760
310.68,50.2080
310.88,50.2400
311.08,50.2720
311.28,50.3040
311.48,50.3360
311.67,50.3680
311.87,50.4000
311.45,50.4320
311.65,50.4640
311.84,50.4960
311.42,50.5280
311.62,50.5600
311.82,50.5920
312.02,50.6240
312.21,50.6560
311.79,50.6880
311.99,50.7200
311.57,50.7520
311.76,50.7840
311.96,50.8160
311.54,50.8480
311.74,50.8800
311.32,50.9120
311.52,50.9440
311.71,50.9760
311.91,51.0080
311.49,51.0400
311.68,51.0720
311.88,51.1040
312.07,51.1360
311.66,51.1680
311.85,51.2000
311.44,51.2320
311.63,51.2640
